Gene ID (RS),Gene ID (LPD),Annotation
PD630_RS00005,"Pd630_LPD00001	",chromosomal replication initiator protein DnaA
PD630_RS23220,"Pd630_LPD04998	",coenzyme A pyrophosphatase
PD630_RS23225,"Pd630_LPD04999	",AMP-dependent acyl-CoA synthetase
PD630_RS23230,"Pd630_LPD05000	",saccharopine dehydrogenase
PD630_RS23235,"Pd630_LPD05001	",oxidoreductase
PD630_RS23240,"Pd630_LPD05002	",TetR family transcriptional regulator
PD630_RS23245,"Pd630_LPD05003	",polyketide cyclase
PD630_RS23250,"Pd630_LPD05004	",MFS transporter
PD630_RS23255,"Pd630_LPD05005	",DNA-directed RNA polymerase sigma-70 factor
PD630_RS23260,"Pd630_LPD05006	",membrane protein
PD630_RS23265,"Pd630_LPD05007	",tRNA-Pro
PD630_RS23270,"Pd630_LPD05008	",ribosome biogenesis GTPase Der
PD630_RS23275,"Pd630_LPD05009	",cytidylate kinase
PD630_RS23280,none,MFS transporter
PD630_RS23285,"Pd630_LPD05011	",SMC-Scp complex subunit ScpB
PD630_RS23290,"Pd630_LPD05012	",segregation/condensation protein A
PD630_RS23295,"Pd630_LPD05013	",hypothetical protein
PD630_RS23300,"Pd630_LPD05014	",site-specific tyrosine recombinase XerD (pseudogene)
PD630_RS23305,"Pd630_LPD05015	",ADP-ribose pyrophosphatase
PD630_RS23310,"Pd630_LPD05016	",CTP synthetase
PD630_RS23315,"Pd630_LPD05017	",channel-forming protein
PD630_RS23320,"Pd630_LPD05018	",thiamin pyrophosphokinase
PD630_RS23325,"Pd630_LPD05019	",DNA repair protein RecN
PD630_RS23330,"Pd630_LPD05020	",NAD(+) kinase
PD630_RS23335,"Pd630_LPD05021	",TlyA family rRNA (cytidine-2'-O)-methyltransferase
PD630_RS23345,"Pd630_LPD05023	",haloacid dehalogenase
PD630_RS42385,"Pd630_LPD05024	",hypothetical protein
PD630_RS23370,"Pd630_LPD05028	",tyrosine--tRNA ligase
PD630_RS23375,"Pd630_LPD05029	",DNA-3-methyladenine glycosylase
PD630_RS23380,"Pd630_LPD05030	",multidrug ABC transporter ATPase
PD630_RS23385,"Pd630_LPD05031	",antibiotic ABC transporter permease
PD630_RS23390,"Pd630_LPD05032	",TetR family transcriptional regulator
PD630_RS23395,"Pd630_LPD05033	",hypothetical protein
PD630_RS23400,"Pd630_LPD05034	",acyl-CoA synthetase
PD630_RS23405,"Pd630_LPD05035	",argininosuccinate lyase
PD630_RS23410,"Pd630_LPD05036	",argininosuccinate synthase
PD630_RS23415,"Pd630_LPD05037	",arginine repressor
PD630_RS23420,"Pd630_LPD05038	",ornithine carbamoyltransferase
PD630_RS23425,"Pd630_LPD05039	",aspartate aminotransferase family protein
PD630_RS23430,"Pd630_LPD05040	",acetylglutamate kinase
PD630_RS23435,"Pd630_LPD05041	",bifunctional ornithine acetyltransferase/N-acetylglutamate synthase
PD630_RS23440,"Pd630_LPD05042	",N-acetyl-gamma-glutamyl-phosphate reductase
PD630_RS23445,"Pd630_LPD05043	",hypothetical protein
PD630_RS23450,"Pd630_LPD05044	",phenylalanine--tRNA ligase subunit beta
PD630_RS23455,"Pd630_LPD05045	",phenylalanine--tRNA ligase subunit alpha
PD630_RS23460,"Pd630_LPD05046	",RNA methyltransferase
PD630_RS23465,"Pd630_LPD05047	",50S ribosomal protein L20
PD630_RS23470,"Pd630_LPD05048	",50S ribosomal protein L35
PD630_RS23475,"Pd630_LPD05049	",translation initiation factor IF-3
PD630_RS23480,"Pd630_LPD05050	",hypothetical protein
PD630_RS23485,"Pd630_LPD05051	",hypothetical protein
PD630_RS23490,"Pd630_LPD05052	",transcriptional regulator
PD630_RS23495,"Pd630_LPD05053	",alpha/beta hydrolase
PD630_RS23500,"Pd630_LPD05054	",ABC-ATPase UvrA
PD630_RS23505,"Pd630_LPD05055	",MBL fold metallo-hydrolase
PD630_RS23510,"Pd630_LPD05057	",hypothetical protein
PD630_RS23515,"Pd630_LPD05058	",ATPase AAA
PD630_RS23520,"Pd630_LPD05059	",hypothetical protein
PD630_RS23525,"Pd630_LPD05060	",universal stress protein
PD630_RS23530,"Pd630_LPD05061	",hypothetical protein
PD630_RS23535,"Pd630_LPD05062	",excinuclease ABC subunit B
PD630_RS23540,"Pd630_LPD05063	",hypothetical protein
PD630_RS23545,"Pd630_LPD05064	",dephospho-CoA kinase
PD630_RS42390,none,hypothetical protein (pseudogene)
PD630_RS23550,"Pd630_LPD05065	",hypothetical protein
PD630_RS23555,"Pd630_LPD05066	",30S ribosomal protein S1
PD630_RS23560,"Pd630_LPD05067	",SAM-dependent methyltransferase
PD630_RS23565,"Pd630_LPD05068	",IS1380 family transposase (pseudogene)
PD630_RS23570,"Pd630_LPD05069	",arginine ABC transporter ATP-binding protein
PD630_RS23575,"Pd630_LPD05070	",ABC transporter permease
PD630_RS23580,"Pd630_LPD05071	",ABC transporter substrate-binding protein
PD630_RS23585,"Pd630_LPD05072	",3-isopropylmalate dehydrogenase
PD630_RS23590,"Pd630_LPD05073	",hypothetical protein
PD630_RS23595,"Pd630_LPD05074	",membrane protein
PD630_RS23600,"Pd630_LPD05076	",AraC family transcriptional regulator
PD630_RS23605,"Pd630_LPD05077	",thiol reductase thioredoxin
PD630_RS23610,"Pd630_LPD05078	",DNA polymerase I
PD630_RS23615,"Pd630_LPD05081	",ABC transporter permease
PD630_RS23620,"Pd630_LPD05082	",branched-chain amino acid ABC transporter permease
PD630_RS23625,"Pd630_LPD05083	",ABC transporter ATP-binding protein
PD630_RS23630,"Pd630_LPD05084	",ABC transporter ATP-binding protein
PD630_RS23635,"Pd630_LPD05085	",amino acid ABC transporter substrate-binding protein
PD630_RS23640,"Pd630_LPD05086	",TetR family transcriptional regulator
PD630_RS23645,none,short-chain dehydrogenase/reductase (pseudogene)
PD630_RS23650,"Pd630_LPD05089	",response regulator
PD630_RS23655,"Pd630_LPD05091	",tRNA-Leu
PD630_RS23660,"Pd630_LPD05092	",carboxymuconolactone decarboxylase family protein
PD630_RS23665,"Pd630_LPD05093	",DNA-directed RNA polymerase sigma-70 factor
PD630_RS23670,"Pd630_LPD05094	",hypothetical protein
PD630_RS23675,"Pd630_LPD05095	",hypothetical protein
PD630_RS23680,"Pd630_LPD05096	",multidrug ABC transporter ATP-binding protein
PD630_RS23685,"Pd630_LPD05097	",hypothetical protein
PD630_RS23690,"Pd630_LPD05098	",acyl-CoA thioesterase II
PD630_RS23695,"Pd630_LPD05099	",pyruvate kinase
PD630_RS23700,"Pd630_LPD05100	",hypothetical protein
PD630_RS23705,"Pd630_LPD05101	",dihydropyrimidine dehydrogenase subunit A
PD630_RS23710,"Pd630_LPD05102	",glutamate synthase subunit alpha
PD630_RS23715,"Pd630_LPD05103	",hypothetical protein
PD630_RS23720,"Pd630_LPD05104	",prolipoprotein diacylglyceryl transferase
PD630_RS23725,"Pd630_LPD05105	",tryptophan synthase subunit alpha
PD630_RS23730,"Pd630_LPD05106	",tryptophan synthase subunit beta
PD630_RS23735,"Pd630_LPD05107	",indole-3-glycerol-phosphate synthase
PD630_RS23740,none,hypothetical protein (pseudogene)
PD630_RS23745,"Pd630_LPD05109	",anthranilate synthase component I
PD630_RS23750,"Pd630_LPD05110	",peroxiredoxin
PD630_RS23755,"Pd630_LPD05111	",dioxygenase
PD630_RS23760,"Pd630_LPD05112	",MarR family transcriptional regulator
PD630_RS23765,"Pd630_LPD05113	",4-oxalocrotonate tautomerase
PD630_RS23770,"Pd630_LPD05114	",phosphoribosyl-AMP cyclohydrolase
PD630_RS23775,"Pd630_LPD05115	",imidazole glycerol phosphate synthase cyclase subunit
PD630_RS23780,"Pd630_LPD05116	",inositol monophosphatase
PD630_RS23785,"Pd630_LPD05117	",bifunctional 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase/phosphoribosylanthranilate isomerase PriA
PD630_RS23790,"Pd630_LPD05118	",membrane protein
PD630_RS23795,"Pd630_LPD05119	",imidazole glycerol phosphate synthase subunit HisH
PD630_RS23800,"Pd630_LPD05120	",MFS transporter
PD630_RS23810,"Pd630_LPD05122	",imidazoleglycerol-phosphate dehydratase
PD630_RS23815,"Pd630_LPD05123	",histidinol-phosphate transaminase
PD630_RS23820,"Pd630_LPD05124	",histidinol dehydrogenase
PD630_RS23825,"Pd630_LPD05125	",hypothetical protein
PD630_RS23830,"Pd630_LPD05126	",acyl-CoA dehydrogenase
PD630_RS23835,"Pd630_LPD05127	",glycoside hydrolase family 1
PD630_RS23840,"Pd630_LPD05128	",threonine transporter RhtB
PD630_RS23845,"Pd630_LPD05129	",nicotinate-nucleotide diphosphorylase (carboxylating)
PD630_RS23850,"Pd630_LPD05130	",L-aspartate oxidase (pseudogene)
PD630_RS23855,"Pd630_LPD05131	",quinolinate synthetase
PD630_RS23860,"Pd630_LPD05132	",NUDIX hydrolase
PD630_RS23865,"Pd630_LPD05133	",TetR family transcriptional regulator
PD630_RS23870,"Pd630_LPD05134	",oxidoreductase
PD630_RS23875,"Pd630_LPD05135	",membrane protein
PD630_RS23880,"Pd630_LPD05136	",hypothetical protein
PD630_RS23885,"Pd630_LPD05137	",biotin synthase BioB
PD630_RS23890,"Pd630_LPD05138	",TetR family transcriptional regulator
PD630_RS23895,none,lipase (pseudogene)
PD630_RS23900,"Pd630_LPD05140	",GntR family transcriptional regulator
PD630_RS23905,"Pd630_LPD05141	",fatty acid hydroxylase
PD630_RS23910,"Pd630_LPD05142	",succinate dehydrogenase/fumarate reductase iron-sulfur subunit
PD630_RS23915,"Pd630_LPD05143	",fumarate reductase/succinate dehydrogenase flavoprotein subunit
PD630_RS23920,"Pd630_LPD05144	",hypothetical protein
PD630_RS23925,"Pd630_LPD05145	",hypothetical protein
PD630_RS42395,none,glyoxalase (pseudogene)
PD630_RS23940,none,dethiobiotin synthase
PD630_RS23945,none,8-amino-7-oxononanoate synthase (pseudogene)
PD630_RS23950,"Pd630_LPD05149	",adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA
PD630_RS23955,"Pd630_LPD05150	",glycogen debranching enzyme
PD630_RS23960,"Pd630_LPD05151	",malto-oligosyltrehalose synthase
PD630_RS23965,"Pd630_LPD05152	",alcohol dehydrogenase
PD630_RS23970,"Pd630_LPD05153	",TetR family transcriptional regulator
PD630_RS23975,none,hypothetical protein
PD630_RS23980,"Pd630_LPD05156	",malto-oligosyltrehalose trehalohydrolase
PD630_RS23985,"Pd630_LPD05157	",MFS transporter
PD630_RS23990,"Pd630_LPD05158	",TetR family transcriptional regulator
PD630_RS23995,"Pd630_LPD05159	",threonine dehydratase
PD630_RS24000,"Pd630_LPD05160	",pyruvate oxidase
PD630_RS24005,"Pd630_LPD05161	",nitroreductase
PD630_RS24010,"Pd630_LPD05162	",hypothetical protein
PD630_RS24015,"Pd630_LPD05163	",DNA polymerase III subunit alpha
PD630_RS24020,"Pd630_LPD05164	",protein RarD
PD630_RS24025,"Pd630_LPD05165	",hypothetical protein
PD630_RS24030,"Pd630_LPD05166	",pseudouridine synthase
PD630_RS24035,"Pd630_LPD05167	",signal peptidase II
PD630_RS24040,"Pd630_LPD05168	",hypothetical protein
PD630_RS24045,"Pd630_LPD05169	",sensor domain-containing protein
PD630_RS24050,"Pd630_LPD05170	",hypothetical protein
PD630_RS24055,"Pd630_LPD05171	",DNA polymerase IV
PD630_RS24060,"Pd630_LPD05172	",isoleucine--tRNA ligase
PD630_RS24065,"Pd630_LPD05174	",hypothetical protein
PD630_RS24070,"Pd630_LPD05175	",DivIVA domain-containing protein
PD630_RS24075,none,YggT family protein
PD630_RS24080,"Pd630_LPD05177	",cell division protein SepF
PD630_RS24085,"Pd630_LPD05178	",YggS family pyridoxal phosphate enzyme
PD630_RS24090,"Pd630_LPD05179	",laccase
PD630_RS24095,"Pd630_LPD05180	",cell division protein FtsZ
PD630_RS24100,none,cell division protein FtsQ
PD630_RS24105,"Pd630_LPD05182	",UDP-N-acetylmuramate--L-alanine ligase
PD630_RS24110,"Pd630_LPD05183	",undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase
PD630_RS24115,"Pd630_LPD05184	",cell division protein FtsW
PD630_RS24120,"Pd630_LPD05185	",UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
PD630_RS24125,"Pd630_LPD05186	",phospho-N-acetylmuramoyl-pentapeptide-transferase
PD630_RS24130,"Pd630_LPD05187	",UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
PD630_RS24135,"Pd630_LPD05188	",UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase
PD630_RS24140,"Pd630_LPD05189	",cell division protein FtsI
PD630_RS24145,"Pd630_LPD05190	",hypothetical protein
PD630_RS24150,"Pd630_LPD05191	",16S rRNA (cytosine(1402)-N(4))-methyltransferase
PD630_RS24155,"Pd630_LPD05192	",division/cell wall cluster transcriptional repressor MraZ
PD630_RS24160,"Pd630_LPD05193	",membrane protein
PD630_RS24165,none,hypothetical protein
PD630_RS24170,"Pd630_LPD05195	",acetyltransferase
PD630_RS24175,"Pd630_LPD05196	",FAD-dependent oxidoreductase
PD630_RS24180,"Pd630_LPD05197	",carotenoid biosynthesis protein
PD630_RS24185,"Pd630_LPD05198	",hypothetical protein
PD630_RS24190,none,glycosyl transferase (pseudogene)
PD630_RS24195,"Pd630_LPD05201	",methylenetetrahydrofolate reductase [NAD(P)H]
PD630_RS24200,"Pd630_LPD05202	",geranylgeranyl pyrophosphate synthase
PD630_RS24205,"Pd630_LPD05203	",phytoene dehydrogenase
PD630_RS24210,"Pd630_LPD05204	",alpha-(1->6)-mannopyranosyltransferase A
PD630_RS24215,"Pd630_LPD05205	",phytoene synthase
PD630_RS24220,"Pd630_LPD05206	",hypothetical protein
PD630_RS24225,"Pd630_LPD05207	",serine/threonine protein kinase
PD630_RS24230,"Pd630_LPD05208	",3-deoxy-7-phosphoheptulonate synthase class II
PD630_RS24235,"Pd630_LPD05209	",hypothetical protein
PD630_RS24240,"Pd630_LPD05210	",membrane protein
PD630_RS24245,"Pd630_LPD05211	",1-acyl-sn-glycerol-3-phosphate acyltransferase
PD630_RS24250,"Pd630_LPD05212	",glucokinase
PD630_RS24255,"Pd630_LPD05213	",hypothetical protein
PD630_RS24260,"Pd630_LPD05214	",arsenic ABC transporter ATPase
PD630_RS24265,"Pd630_LPD05215	",cyclase
PD630_RS24270,"Pd630_LPD05216	",hypothetical protein
PD630_RS24275,"Pd630_LPD05217	",long-chain fatty acid--CoA ligase
PD630_RS24280,"Pd630_LPD05218	",GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
PD630_RS24285,"Pd630_LPD05219	",hypothetical protein
PD630_RS24290,"Pd630_LPD05220	",hypothetical protein
PD630_RS24295,"Pd630_LPD05221	",hydrolase
PD630_RS24300,"Pd630_LPD05222	",hypothetical protein
PD630_RS24305,"Pd630_LPD05223	",AsnC family transcriptional regulator
PD630_RS24310,"Pd630_LPD05224	",anthranilate phosphoribosyltransferase
PD630_RS24315,"Pd630_LPD05225	",hypothetical protein
PD630_RS24320,"Pd630_LPD05226	",cytochrome b
PD630_RS24325,"Pd630_LPD05227	",cytochrome c
PD630_RS24330,"Pd630_LPD05228	",menaquinol-cytochrome C reductase iron-sulfur subunit
PD630_RS24335,"Pd630_LPD05229	",menaquinol-cytochrome c reductase
PD630_RS24340,"Pd630_LPD05230	",membrane protein
PD630_RS24345,"Pd630_LPD05231	",TetR family transcriptional regulator (pseudogene)
PD630_RS24350,"Pd630_LPD05232	",cytochrome c oxidase subunit IV
PD630_RS24355,"Pd630_LPD05233	",cytochrome c oxidase subunit II
PD630_RS24360,"Pd630_LPD05235	",asparagine synthetase B
PD630_RS24365,"Pd630_LPD05236	",ribokinase
PD630_RS24370,"Pd630_LPD05237	",iron-sulfur cluster assembly accessory protein
PD630_RS24375,"Pd630_LPD05238	",hypothetical protein
PD630_RS24380,"Pd630_LPD05239	",membrane protein
PD630_RS24385,"Pd630_LPD05240	",hypothetical protein
PD630_RS24390,"Pd630_LPD05241	",cobinamide kinase
PD630_RS24395,"Pd630_LPD05242	",nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
PD630_RS24400,"Pd630_LPD05243	",adenosylcobinamide-GDP ribazoletransferase
PD630_RS24405,"Pd630_LPD05244	",branched chain amino acid aminotransferase
PD630_RS24410,"Pd630_LPD05245	",glycine cleavage system protein T
PD630_RS24415,"Pd630_LPD05246	",leucyl aminopeptidase
PD630_RS24420,"Pd630_LPD05247	",hypothetical protein
PD630_RS24425,"Pd630_LPD05248	",2-oxoglutarate dehydrogenase%2C E2 component%2C dihydrolipoamide succinyltransferase
PD630_RS24430,"Pd630_LPD05249	",multidrug MFS transporter
PD630_RS24435,"Pd630_LPD05250	",lipoate-protein ligase B
PD630_RS24440,"Pd630_LPD05251	",lipoyl synthase
PD630_RS24445,"Pd630_LPD05252	",membrane protein
PD630_RS24450,"Pd630_LPD05253	",RDD family protein
PD630_RS24455,"Pd630_LPD05254	",type I glutamate--ammonia ligase
PD630_RS24460,"Pd630_LPD05255	",DNA alkylation repair protein
PD630_RS24465,"Pd630_LPD05256	",Bcr/CflA family drug resistance efflux transporter
PD630_RS24470,"Pd630_LPD05257	",hypothetical protein
PD630_RS24475,"Pd630_LPD05258	",ABC transporter permease
PD630_RS24480,"Pd630_LPD05259	",ABC transporter
PD630_RS24485,"Pd630_LPD05260	",ABC transporter permease
PD630_RS24490,"Pd630_LPD05261	",glycine/betaine ABC transporter substrate-binding protein
PD630_RS24495,"Pd630_LPD05262	",membrane protein
PD630_RS24500,"Pd630_LPD05263	",bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase
PD630_RS24505,"Pd630_LPD05264	",type I glutamate--ammonia ligase
PD630_RS24510,"Pd630_LPD05265	",alpha/beta hydrolase
PD630_RS24515,"Pd630_LPD05266	",3-methyl-2-oxobutanoate hydroxymethyltransferase
PD630_RS24520,"Pd630_LPD05267	",hypothetical protein
PD630_RS24525,"Pd630_LPD05268	",prolyl aminopeptidase
PD630_RS24530,"Pd630_LPD05269	",ribonuclease II
PD630_RS24535,"Pd630_LPD05270	",hypothetical protein
PD630_RS24540,"Pd630_LPD05271	",hypothetical protein
PD630_RS24545,"Pd630_LPD05272	",hypothetical protein
PD630_RS24550,"Pd630_LPD05273	",acyl dehydratase
PD630_RS24555,"Pd630_LPD05274	",threonine transporter RhtB
PD630_RS24560,"Pd630_LPD05275	",hydrolase
PD630_RS41460,none,RNase P RNA component class A
PD630_RS24565,"Pd630_LPD05277	",pyridoxamine 5'-phosphate oxidase
PD630_RS24570,"Pd630_LPD05278	",transporter
PD630_RS24575,"Pd630_LPD05279	",bifunctional RNase H/acid phosphatase
PD630_RS24580,"Pd630_LPD05280	",hypothetical protein
PD630_RS24585,"Pd630_LPD05281	",Nif3-like dinuclear metal center hexameric protein
PD630_RS24590,"Pd630_LPD05282	",hypothetical protein
PD630_RS24595,"Pd630_LPD05283	",haloacid dehalogenase
PD630_RS24600,"Pd630_LPD05284	",protein-tyrosine-phosphatase
PD630_RS24605,"Pd630_LPD05285	",hypothetical protein
PD630_RS24610,none,adenosylcobinamide-phosphate synthase (pseudogene)
PD630_RS24615,"Pd630_LPD05287	",hypothetical protein
PD630_RS24620,"Pd630_LPD05288	",hypothetical protein
PD630_RS24625,"Pd630_LPD05289	",hypothetical protein
PD630_RS24630,"Pd630_LPD05290	",hypothetical protein
PD630_RS24635,"Pd630_LPD05291	",hypothetical protein
PD630_RS24640,"Pd630_LPD05292	",tRNA-Val
PD630_RS24645,"Pd630_LPD05293	",peroxiredoxin
PD630_RS24650,"Pd630_LPD05294	",hypothetical protein
PD630_RS24655,"Pd630_LPD05295	",hypothetical protein
PD630_RS24660,none,pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type (pseudogene)
PD630_RS24665,"Pd630_LPD05299	",PucR family transcriptional regulator
PD630_RS24670,"Pd630_LPD05300	",malonyl CoA-ACP transacylase
PD630_RS24675,"Pd630_LPD05301	",acyl carrier protein
PD630_RS24680,"Pd630_LPD05302	",3-oxoacyl-ACP synthase
PD630_RS24685,"Pd630_LPD05303	",propionyl-CoA carboxylase subunit beta
PD630_RS24690,"Pd630_LPD05304	",hypothetical protein
PD630_RS24695,"Pd630_LPD05305	",serine hydrolase
PD630_RS24700,"Pd630_LPD05306	",alcohol dehydrogenase
PD630_RS24705,"Pd630_LPD05307	",methyltransferase type 12
PD630_RS42400,"Pd630_LPD05308	",hypothetical protein
PD630_RS24710,"Pd630_LPD05310	",membrane protein
PD630_RS24715,"Pd630_LPD05311	",tRNA-Met
PD630_RS24720,none,hypothetical protein
PD630_RS24725,"Pd630_LPD05312	",AI-2E family transporter
PD630_RS24730,"Pd630_LPD05313	",tRNA-Asn
PD630_RS24735,"Pd630_LPD05314	",hypothetical protein
PD630_RS24740,"Pd630_LPD05315	",DNA primase
PD630_RS24745,"Pd630_LPD05316	",lipase
PD630_RS24750,"Pd630_LPD05317	",deoxyguanosinetriphosphate triphosphohydrolase
PD630_RS24755,"Pd630_LPD05318	",membrane protein
PD630_RS24760,"Pd630_LPD05319	",membrane protein
PD630_RS24765,"Pd630_LPD05320	",hypothetical protein
PD630_RS24770,"Pd630_LPD05321	",glycine--tRNA ligase
PD630_RS24775,"Pd630_LPD05322	",transcriptional regulator
PD630_RS24780,"Pd630_LPD05323	",transcriptional repressor
PD630_RS24785,"Pd630_LPD05324	",hypothetical protein
PD630_RS24790,"Pd630_LPD05325	",isoprenyl transferase
PD630_RS24795,"Pd630_LPD05326	",DNA repair protein RecO
PD630_RS24800,"Pd630_LPD05327	",hydrolase
PD630_RS24805,"Pd630_LPD05328	",hypothetical protein
PD630_RS24810,"Pd630_LPD05329	",hypothetical protein
PD630_RS24815,"Pd630_LPD05330	",ABC transporter substrate-binding protein
PD630_RS24820,"Pd630_LPD05331	",DNA-binding response regulator
PD630_RS24825,"Pd630_LPD05332	",sensor histidine kinase
PD630_RS24830,"Pd630_LPD05333	",potassium ABC transporter ATPase
PD630_RS24835,"Pd630_LPD05334	",potassium transporter KtrB
PD630_RS24840,"Pd630_LPD05335	",potassium-transporting ATPase subunit A
PD630_RS24845,none,potassium-transporting ATPase subunit F
PD630_RS24850,"Pd630_LPD05338	",pyridoxamine 5'-phosphate oxidase
PD630_RS24855,"Pd630_LPD05339	",GntR family transcriptional regulator
PD630_RS24860,"Pd630_LPD05340	",amidase
PD630_RS24865,"Pd630_LPD05341	",TetR family transcriptional regulator
